Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,16699790648.4508,60.5,ALU (19.2%),TCP (13.6%),MCS (11.2%),DB (9.5%),CB (7.6%),ALU (11.7%) [97.1],TCP (0.8%) [85.9],MCS (2.8%) [100.0],DB (0.3%) [98.3],CB (0%) [53.9],119.82,84.27,269.09,16699.79,dirtrally_ultra_dx11_r1920x1080,dirtrally_ultra_dx11_r1920x1080
TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,0.9433,0.9433028,0.9433028,18588707630.2978,70.4,SPI (19.2%),ALU (16.1%),TCP (11.7%),MCS (9.4%),CB (7%),SPI (3.1%) [94.9],ALU (10.1%) [92.4],TCP (0.7%) [81.7],MCS (2.4%) [100.0],CB (0.9%) [54.4],113.03,78.28,254.67,14138.5,dirtrally_ultra_dx11_r1920x1080,dirtrally_ultra_dx11_r1920x1080
 
Config, Score for 1920x1080 Resolution, Min Score, Max Score, Cycles,Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,16699790648.4508,60.5,ALU (19.2%),TCP (13.6%),MCS (11.2%),DB (9.5%),CB (7.6%),ALU (11.7%) [97.1],TCP (0.8%) [85.9],MCS (2.8%) [100.0],DB (0.3%) [98.3],CB (0%) [53.9],119.82,84.27,269.09,16699.79,dirtrally_ultra_dx11_r1920x1080,dirtrally_ultra_dx11_r1920x1080
TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,0.9433,0.9433028,0.9433028,18588707630.2978,70.4,SPI (19.2%),ALU (16.1%),TCP (11.7%),MCS (9.4%),CB (7%),SPI (3.1%) [94.9],ALU (10.1%) [92.4],TCP (0.7%) [81.7],MCS (2.4%) [100.0],CB (0.9%) [54.4],113.03,78.28,254.67,14138.5,dirtrally_ultra_dx11_r1920x1080,dirtrally_ultra_dx11_r1920x1080
