Config, App, Score, Cycles, % Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,dirtrally_ultra_dx11_r1920x1080,1,16699790648,0.15%,0.01%,5.36%,0.16%,7.65%,9.51%,0%,0%,0%,3.82%,13.64%,3.06%,0%,0%,0%,11.23%,0%,0%,0%,0%,0%,0.14%,0%,0.08%,0%,2.34%,0.28%,2.38%,0%,0%,7.17%,1.71%,0%,0%,0%,0.01%,0%,0%,0.23%,0%,0%,0%,0%,19.19%,0%,0%,0%,2.48%,7.5%,1.86%,0%,92.36,64.99,207.53,16699.79,0,1000,1000,0,0,0,0,0,0
TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,dirtrally_ultra_dx11_r1920x1080,0.9433,18588707630,0.72%,19.21%,5.7%,0.12%,7.01%,3.29%,0%,0%,0%,3.44%,11.71%,2.57%,0%,0%,0%,9.43%,0%,0%,0%,0%,0%,0.14%,0%,0.07%,0%,2.13%,1.8%,5.45%,0%,0%,6.36%,1.75%,0%,0%,0%,0.01%,0%,0%,0.2%,0%,0%,0%,0%,16.07%,0%,0%,0%,1.7%,0%,0.44%,0.66%,87.13,60.37,196.41,17703.53,0,1050,1050,0,0,0,0,0,0
