Profile Name,,,,,TT0 Mclk,TT0 Sclk,TT0 Channel,TT0 Cus,TT1 Mclk,TT1 Sclk,TT1 Channel,TT1 Cus,Video Mem Size,CB RD DCC Ratio,CB WR DCC Ratio,DB RD DCC Ratio,DB WR DCC Ratio,TCC RD DCC Ratio,TCC WR DCC Ratio,MCS RD DCC Ratio,MCS WR DCC Ratio,MCS Activate DCC,MCS Precharge DCC,DCC Avg Ratio,Req_Bytes,Powertune,Measured FPS in BaseChip,frameRangeEnabled,Start Frame,Frame Number,perDraw Output,Debug Enable,Output Detailed Excel,Measured CSV,Workload Enable,coissueRate,PrivatePowerWeightFile,pace,useCAC,Width,Height,tccFactorEnable,PS_level_Wave_one_eighth,PS_level_Wave_one_fourth,PS_level_Wave_one_half,PS_level_Wave_full,VS_level_Wave_one_eighth,VS_level_Wave_one_fourth,VS_level_Wave_one_half,VS_level_Wave_full,CS_level_Wave_one_eighth,CS_level_Wave_one_fourth,CS_level_Wave_one_half,CS_level_Wave_full,score_one_eighth,score_one_fourth,score_one_half,score_full,score_one_eighth_dccOff,score_one_fourth_dccOff,score_one_half_dccOff,dragonfireScale,tccScale_useAve,tcc_hitRate_1_8_ratio,tcc_hitRate_1_4_ratio,tcc_hitRate_1_2_ratio,tcc_shaderLevelWave_1_8_ratio,tcc_shaderLevelWave_1_4_ratio,tcc_shaderLevelWave_1_2_ratio,tcpScale_useAve,tcp_hitRate_1_2_ratio,tcp_shaderLevelWave_1_2_ratio,tcp_mem_1_2_ratio,ScaleTexTrafficPct_768K,ScaleColorReadPct_768K,ScaleColorWritePct_768K,ScaleDBWriteTrafficPct_768K,ScaleDBReadTrafficPct_768K,ScalePSWaveLatency_768K,TCCSizeinKB,ScaleMCRead_768K,ScaleMCRDAct_768K,ScaleMCWrite_768K,ScaleWRAct_768K,ScaleTexTrafficPct_1MB,ScaleColorReadPct_1MB,ScaleColorWritePct_1MB,ScaleDBWriteTrafficPct_1MB,ScaleDBReadTrafficPct_1MB,ScalePSWaveLatency_1MB,TCCSizeinKB,ScaleMCRead_1MB,ScaleMCRDAct_1MB,ScaleMCWrite_1MB,ScaleWRAct_1MB,ScaleTexTrafficPct_2MB,ScaleColorReadPct_2MB,ScaleColorWritePct_2MB,ScaleDBWriteTrafficPct_2MB,ScaleDBReadTrafficPct_2MB,ScalePSWaveLatency_2MB,TCCSizeinKB,ScaleMCRead_2MB,ScaleMCRDAct_2MB,ScaleMCWrite_2MB,ScaleWRAct_2MB,ScaleTexTrafficPct_4MB,ScaleColorReadPct_4MB,ScaleColorWritePct_4MB,ScaleDBWriteTrafficPct_4MB,ScaleDBReadTrafficPct_4MB,ScalePSWaveLatency_4MB,TCCSizeinKB,ScaleMCRead_4MB,ScaleMCRDAct_4MB,ScaleMCWrite_4MB,ScaleWRAct_4MB,ScaleTexTrafficPct_8MB,ScaleColorReadPct_8MB,ScaleColorWritePct_8MB,ScaleDBWriteTrafficPct_8MB,ScaleDBReadTrafficPct_8MB,ScalePSWaveLatency_8MB,TCCSizeinKB,ScaleMCRead_8MB,ScaleMCRDAct_8MB,ScaleMCWrite_8MB,ScaleWRAct_8MB,ScaleTexTrafficPct_16MB,ScaleColorReadPct_16MB,ScaleColorWritePct_16MB,ScaleDBWriteTrafficPct_16MB,ScaleDBReadTrafficPct_16MB,ScalePSWaveLatency_16MB,TCCSizeinKB,ScaleMCRead_16MB,ScaleMCRDAct_16MB,ScaleMCWrite_16MB,ScaleWRAct_16MB,ScaleTexTrafficPct_32MB,ScaleColorReadPct_32MB,ScaleColorWritePct_32MB,ScaleDBWriteTrafficPct_32MB,ScaleDBReadTrafficPct_32MB,ScalePSWaveLatency_32MB,TCCSizeinKB,ScaleMCRead_32MB,ScaleMCRDAct_32MB,ScaleMCWrite_32MB,ScaleWRAct_32MB,ScaleTexTrafficPct_64MB,ScaleColorReadPct_64MB,ScaleColorWritePct_64MB,ScaleDBWriteTrafficPct_64MB,ScaleDBReadTrafficPct_64MB,ScalePSWaveLatency_64MB,TCCSizeinKB,ScaleMCRead_64MB,ScaleMCRDAct_64MB,ScaleMCWrite_64MB,ScaleWRAct_64MB
3DMarkV_PerlinNoise_r1280x1024,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1280,1024,0,1,1,1,1,1,1,1,1,1,1,1,1,0.887950974,0.928199062,0.966199863,1,0.886375844,0.927674445,0.965693337,1,0,0.9,0.8,0.7,0.9,0.8,0.7,1,0.975874116,1.02995449,1.100285742,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
3DMark_icestorm_gt1_1280x720,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1280,720,0,1,1,1,1,1,1,1,1,1,1,1,1,0.887950974,0.928199062,0.966199863,1,0.886375844,0.927674445,0.965693337,1,0,0.9,0.8,0.7,0.9,0.8,0.7,1,0.975874116,1.02995449,1.100285742,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
3DMark_icestorm_gt2_1280x720,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1280,720,0,1,1,1,1,1,1,1,1,1,1,1,1,0.887950974,0.928199062,0.966199863,1,0.886375844,0.927674445,0.965693337,1,0,0.9,0.8,0.7,0.9,0.8,0.7,1,0.975874116,1.02995449,1.100285742,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
3DMark_64_FireStrike_GT1X_IDC,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2560,1600,0,1,1,1,1,1,1,1,1,1,1,1,1,0.887950974,0.928199062,0.966199863,1,0.886375844,0.927674445,0.965693337,1,0,0.9,0.8,0.7,0.9,0.8,0.7,1,0.975874116,1.02995449,1.100285742,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
fillrate_c32_w_aa1,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1024,1024,0,1,1,1,1,1,1,1,1,1,1,1,1,0.903679365,0.948970993,0.978040394,1,0.889231854,0.942020433,0.975343117,1,0,0.9,0.8,0.7,0.9,0.8,0.7,1,0.975874116,1.02995449,1.100285742,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
fillrate_c32_rw_aa1,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1024,1024,0,1,1,1,1,1,1,1,1,1,1,1,1,0.903679365,0.948970993,0.978040394,1,0.889231854,0.942020433,0.975343117,1,0,0.558732834,0.651720117,0.82504782,0.558732834,0.651720117,0.82504782,1,0.927402748,1.066737355,1.472633936,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
fillrate_c64_w_aa1,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1024,1024,0,1,1,1,1,1,1,1,1,1,1,1,1,0.903679365,0.948970993,0.978040394,1,0.889231854,0.942020433,0.975343117,1,0,0.837695146,0.924704085,0.977268585,0.837695146,0.924704085,0.977268585,1,0.957922332,1.02944364,1.05168934,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
fillrate_c64_rw_aa1,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1024,1024,0,1,1,1,1,1,1,1,1,1,1,1,1,0.903679365,0.948970993,0.978040394,1,0.889231854,0.942020433,0.975343117,1,0,0.848600826,0.924591624,0.974476001,0.848600826,0.924591624,0.974476001,1,0.97183324,1.037142501,1.092796215,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
FireStrikeP_CT,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1920,1080,0,1,1,1,1,1,1,1,1,1,1,1,1,0.554867643,0.647556789,0.819726859,1,0.558732834,0.651720117,0.82504782,1,0,0.889231854,0.942020433,0.975343117,0.889231854,0.942020433,0.975343117,1,0.942263541,1.058686571,1.335290564,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
FireStrikeP_GT1,no,100,,E:\SlirpiNextV2_TongaInput,1375,1000,12,32,1375,1000,12,24,0.32,0.3,0.3,0,0,0.1,0,0.2,0.2,0.2,0.2,1,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1920,1080,0,1,1,1,1,1,1,1,1,1,1,1,1,0.836127526,0.924805584,0.977812032,1,0.837695146,0.924704085,0.977268585,1,0,0.970750219,0.995642804,0.999445,0.970750219,0.995642804,0.999445,1,0.960181382,1.031252341,1.043117749,100,100,100,100,100,100,768,100,100,100,100,100,100,100,100,100,100,1024,100,100,100,100,100,100,100,100,100,100,2048,100,100,100,100,100,100,100,100,100,100,4096,100,100,100,100,100,100,100,100,100,100,8192,100,100,100,100,100,100,100,100,100,100,16384,100,100,100,100,100,100,100,100,100,100,32896,100,100,100,100,100,100,100,100,100,100,65536,100,100,100,100
