Config, App, Score, Cycles, Mem Efficiency (%), 1# bottleneck, 2# bottleneck, 3# bottleneck, 4# bottleneck, 5# bottleneck, #1 IF Improv %[activity],#2 IF Improv %[activity],#3 IF Improv %[activity],#4 IF Improv %[activity],#5 IF Improv %[activity], Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,dirtrally_ultra_dx11_r1920x1080,1,16699790648,60.5,ALU (19.2%),TCP (13.6%),MCS (11.2%),DB (9.5%),CB (7.6%),ALU (11.7%),TCP (0.8%),MCS (2.8%),DB (0.3%),CB (0%),92.36,64.99,207.53,16699.79,0,1000,1000,0,0,0,0,0,0
TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,dirtrally_ultra_dx11_r1920x1080,0.9433,18588707630,70.4,SPI (19.2%),ALU (16.1%),TCP (11.7%),MCS (9.4%),CB (7%),SPI (3.1%),ALU (10.1%),TCP (0.7%),MCS (2.4%),CB (0.9%),87.13,60.37,196.41,17703.53,0,1050,1050,0,0,0,0,0,0
