App, Draws, Cycles, Error cycles, % error cycles, Rel error %, Vertex % of error,Vertex % error rate,Vertex % rel error,SPI % of error,SPI % error rate,SPI % rel error,Primitive % of error,Primitive % error rate,Primitive % rel error,Tile % of error,Tile % error rate,Tile % rel error,CB % of error,CB % error rate,CB % rel error,DB % of error,DB % error rate,DB % rel error,RB Read % of error,RB Read % error rate,RB Read % rel error,RB Write % of error,RB Write % error rate,RB Write % rel error,TA % of error,TA % error rate,TA % rel error,TD % of error,TD % error rate,TD % rel error,TCP % of error,TCP % error rate,TCP % rel error,TCC-TCP BW % of error,TCC-TCP BW % error rate,TCC-TCP BW % rel error,TCC % of error,TCC % error rate,TCC % rel error,TCC-MEM BW % of error,TCC-MEM BW % error rate,TCC-MEM BW % rel error,MC % of error,MC % error rate,MC % rel error,MCS % of error,MCS % error rate,MCS % rel error,ES GPR % of error,ES GPR % error rate,ES GPR % rel error,ES Wave % of error,ES Wave % error rate,ES Wave % rel error,GS GPR % of error,GS GPR % error rate,GS GPR % rel error,GS Wave % of error,GS Wave % error rate,GS Wave % rel error,LS GPR % of error,LS GPR % error rate,LS GPR % rel error,LS Wave % of error,LS Wave % error rate,LS Wave % rel error,HS GPR % of error,HS GPR % error rate,HS GPR % rel error,HS Wave % of error,HS Wave % error rate,HS Wave % rel error,VS GPR % of error,VS GPR % error rate,VS GPR % rel error,VS Wave % of error,VS Wave % error rate,VS Wave % rel error,PosBuf % of error,PosBuf % error rate,PosBuf % rel error,ParamCache % of error,ParamCache % error rate,ParamCache % rel error,AS GPR % of error,AS GPR % error rate,AS GPR % rel error,AS Wave % of error,AS Wave % error rate,AS Wave % rel error,PS GPR % of error,PS GPR % error rate,PS GPR % rel error,PS Wave % of error,PS Wave % error rate,PS Wave % rel error,DBLQuadFifo % of error,DBLQuadFifo % error rate,DBLQuadFifo % rel error,PS LDS % of error,PS LDS % error rate,PS LDS % rel error,LDS % of error,LDS % error rate,LDS % rel error,PS DBTileFIFO % of error,PS DBTileFIFO % error rate,PS DBTileFIFO % rel error,PS DBMRTTileFIFO % of error,PS DBMRTTileFIFO % error rate,PS DBMRTTileFIFO % rel error,CS GPR % of error,CS GPR % error rate,CS GPR % rel error,CS Wave % of error,CS Wave % error rate,CS Wave % rel error,PrimShader GPR % of error,PrimShader GPR % error rate,PrimShader GPR % rel error,PrimShader Wave % of error,PrimShader Wave % error rate,PrimShader Wave % rel error,PrimShader_ParamCache % of error,PrimShader_ParamCache % error rate,PrimShader_ParamCache % rel error,PrimShader_PosBuf % of error,PrimShader_PosBuf % error rate,PrimShader_PosBuf % rel error,ALU % of error,ALU % error rate,ALU % rel error,SFU % of error,SFU % error rate,SFU % rel error,SHExport % of error,SHExport % error rate,SHExport % rel error,MEM_INST % of error,MEM_INST % error rate,MEM_INST % rel error,SX-DB % of error,SX-DB % error rate,SX-DB % rel error,Baryc % of error,Baryc % error rate,Baryc % rel error,Interp % of error,Interp % error rate,Interp % rel error,PaScFifo % of error,PaScFifo % error rate,PaScFifo % rel error,
Valley_19x10x4_Ultra_dcc_on_Perf.csv,623916,2.317648E+10,1.327835E+10,57.29,-56.81,0,0,0,0,85.93,-85.93,1.66,72.19,-72.19,0,76.28,-76.28,0.46,19.6,15.94,1.56,45.52,-45.52,0,0,0,0,0,0,0.03,44.71,-44.71,0,0,0,8.51,25.37,-25.37,0.17,51.86,-51.86,0.03,26.11,-26.11,0,0,0,0,0,0,17.05,46.95,-46.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.21,81.63,-81.63,0.25,46.97,-46.83,0.25,35.69,-35.69,0,0,0,0,0,0,2.16,35.26,-35.26,20.86,82.21,-82.21,0.03,75.56,-75.56,0,0,0,0,0,0,0.02,69.88,-69.88,0.37,76.15,-76.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,24.19,-24.19,0,0,0,0,0,0,0,0,0,2.75,40.11,-40.11,2.6,48.36,-48.36,0,88.14,-88.14,0,0,0
Valley_25x16_Ultra_dcc_on_Perf.csv,638021,2.741441E+10,1.342775E+10,48.98,-48.98,0,0,0,0.02,49.79,-49.79,1.95,71.19,-71.19,0,0,0,4.04,35.08,-35.08,1.83,46.72,-46.72,0,0,0,0,0,0,0,54.77,-54.77,0,0,0,8.13,15.78,-15.78,0.29,36.77,-36.77,0.05,32.19,-32.19,0,0,0,0,0,0,16.89,53.13,-53.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,81.07,-81.07,0.25,46.16,-46.06,0.27,35.1,-35.1,0,0,0,0,0,0,3.57,18.91,-18.91,19.26,81.4,-81.4,0,0,0,0,0,0,0,0,0,0.03,70.13,-70.13,0.3,79.23,-79.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21.2,-21.2,0,0,0,0,0,0,0,0,0,0.75,23.66,-23.66,2.69,57.9,-57.9,0,51.69,-51.69,0,0,0
Valley_25x16x8_Ultra_dcc_on_Perf.csv,642601,3.617471E+10,1.528534E+10,42.25,-41.16,0,0,0,0,87.01,-87.01,1.34,70.14,-70.14,0,0,0,1.21,20.29,18.7,4.31,35.61,-33.43,0,0,0,0,0,0,0.02,44.54,-44.54,0,0,0,7.29,14.07,-14.07,0.21,37.69,-37.69,0.03,32.56,-32.56,0,0,0,0,0,0,21.99,33.79,-33.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.42,81.14,-81.14,0.2,45.88,-45.87,0.16,33.13,-33.09,0,0,0,0,0,0,0.14,3.08,-3.08,16.84,80.65,-80.65,8.62,46.36,-46.36,0,0,0,0,0,0,0,62.72,-62.72,0,76.73,-76.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,22,-22,0,0,0,0,0,0,0,0,0,1.58,27.99,-27.99,3.62,42.47,-42.47,0,0,0,0,0,0
watchdogs_1920x1080x32_dcc_on_Perf.csv,2001559,1.916904E+10,1.14807E+10,59.89,-59.89,3.14,60.63,-60.63,0,0,0,9.17,61.99,-61.99,0.23,81.47,-81.47,2.86,47.94,-47.94,1.97,39.14,-39.14,0,0,0,0,0,0,0,0,0,0,0,0,3.38,27.28,-27.28,0.27,43.49,-43.47,0.09,10.72,-10.72,0,0,0,0,0,0,9.07,42.43,-42.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.51,88.26,-88.26,1,43.63,-43.63,0.23,42.8,-42.8,0,0,0,0,0,0,0.56,13.71,-13.71,6.93,89.7,-89.7,0,85.48,-85.48,0,0,0,0.2,20.86,-20.86,0,0,0,0.22,68.03,-68.03,0,0,0,0.07,15.98,-15.07,0,0,0,0,0,0,0,0,0,0,0,0,3.23,17.94,-17.94,0,0,0,0,84.79,-84.79,0,0,0,0.36,39.84,-39.84,0.52,42.63,-42.63,0,0,0,0,0,0
watch_dogs_1920x1080x32_high_dcc_on_Perf.csv,1550607,1.456675E+10,8.84939E+09,60.75,-60.75,3.22,70.24,-70.24,0,0,0,7.53,69.09,-69.09,0.29,80.43,-80.43,3.33,47.62,-47.62,1.18,48.2,-48.2,0,0,0,0,0,0,0,0,0,0,0,0,3.82,27.58,-27.58,0.23,40.37,-40.07,0.11,11.28,-11.28,0,0,0,0,0,0,8.4,42.61,-42.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.89,88.51,-88.51,0.63,44.69,-44.68,0.29,44.65,-44.65,0,0,0,0,0,0,0.66,14.37,-14.37,7.57,89.55,-89.55,0,0,0,0,0,0,0.23,20.88,-20.88,0,75.23,-75.23,0.2,69.13,-69.13,0,0,0,0.08,14.74,-14.37,0,0,0,0,0,0,0,0,0,0,0,0,3.55,17.78,-17.78,0,0,0,0,90.21,-90.21,0,0,0,0.45,42.28,-42.28,0.33,50.71,-50.71,0,0,0,0,0,0
watchdogs_ultra_25x14_dcc_on_Perf.csv,1719563,1.979971E+10,1.023722E+10,51.7,-51.7,3.04,60.81,-60.81,0,0,0,9.19,62.46,-62.46,0.21,83.56,-83.56,3.49,37.34,-37.33,2.53,40.16,-40.15,0,0,0,0,0,0,0,0,0,0,0,0,4.28,22.83,-22.83,0.21,35.71,-35.67,0.11,11.22,-11.22,0,0,0,0,0,0,10.5,37.73,-37.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.85,88.39,-88.39,0.89,46.06,-46.06,0.2,44.2,-44.2,0,0,0,0,0,0,0.59,9.5,-9.5,6.69,89.51,-89.51,0,0,0,0,0,0,0.18,11.38,-11.38,0,0,0,0.23,67.74,-67.74,0,0,0,0.08,18.5,-18.3,0,0,0,0,0,0,0,0,0,0,0,0,3.9,13.42,-13.42,0,0,0,0,90.81,-90.81,0,0,0,0.49,32.41,-32.41,0.35,41.51,-41.51,0,0,0,0,0,0
watchdogs_ultra_25x14x4_dcc_on_Perf.csv,1961782,3.668489E+10,1.733672E+10,47.26,-46.11,1.31,54.45,-54.45,0,0,0,7.73,65.61,-65.58,0,61.29,-61.29,3.52,43.88,-17.07,4.61,46.79,-46.72,0,0,0,0,0,0,0,0,0,0,0,0,4.1,14.55,-14.55,0.15,32.52,-32.51,0.06,11.99,-11.99,0,0,0,0,0,0,19.87,36.51,-36.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,87.44,-87.44,0.71,43.68,-43.38,0.17,40.08,-40.07,0,0,0,0,0,0,3.69,33.66,-31.19,10.28,88.7,-88.7,0.1,69.7,-69.7,0,0,0,0.14,12.56,-12.56,0,0,0,0.58,66.2,-66.2,0,0,0,0.05,10.98,-10.86,0,0,0,0,0,0,0,0,0,0,0,0,3.43,15.07,-15.07,0,0,0,0,80.99,-80.99,0,0,0,0.36,39.2,-39.2,0.24,42.25,-42.25,0,0,0,0,0,0
watchdogs_ultra_38x21_dcc_on_Perf.csv,1752109,3.488387E+10,1.484047E+10,42.54,-42.54,1.3,53.65,-53.65,0,91.46,-91.46,8.83,63.26,-63.26,0,52.61,-52.61,3.61,30.63,-30.6,5.49,48.56,-48.56,0,0,0,0,0,0,0,0,0,0,0,0,5.03,19.38,-19.38,0.14,26.09,-26.09,0.11,12.39,-12.39,0,0,0,0,0,0,16.17,39.1,-39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.55,87.11,-87.11,0.77,43.98,-43.98,0.15,36.96,-36.96,0,0,0,0,0,0,3.22,21.63,-21.54,9.9,88.2,-88.2,0,0,0,0,0,0,0.17,6.57,-6.57,0,0,0,0.66,69.01,-69.01,0,0,0,0.05,12.14,-12.06,0,0,0,0,0,0,0,0,0,0,0,0,4.83,10.33,-10.33,0,0,0,0,87.42,-87.42,0,0,0,0.64,27.21,-27.21,0.38,29.95,-29.95,0,91.8,-91.8,0,0,0
witcher3_1-07_ultra_HairworksOff_r1920x1080_dcc_on_Perf.csv,296638,6.273979E+09,2.989425E+09,47.65,-47.65,0.48,33.85,-33.85,0.04,77.7,-77.7,4.8,61.93,-61.93,0,0,0,0.8,37.62,-37.62,4,30.91,-30.91,0,0,0,0,0,0,0,0,0,0,0,0,2,27.58,-27.58,1.67,79.53,-79.53,0.18,30.32,-30.32,0,0,0,0,0,0,9.2,28.15,-28.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,88.36,-88.36,0,0,0,41.85,84.32,-84.32,4.81,49.61,-49.61,0.33,45.53,-45.53,0,0,0,0,0,0,0.91,29.3,-29.3,3.75,87.35,-87.35,0,0,0,0,0,0,0,0,0,0.02,69.74,-69.74,0.7,60.05,-60.05,0.58,29.35,-29.35,0.02,4.84,-4.84,0,0,0,0,0,0,0,0,0,0,0,0,18.64,32.6,-32.6,0,0,0,0,0,0,0,0,0,0.13,58.33,-58.33,4.98,35.45,-35.45,0.03,8.23,-8.23,0,0,0
witcher3_1-07_ultra_HairworksOff_r2560x1440_dcc_on_Perf.csv,268621,7.551172E+09,3.203072E+09,42.42,-42.42,0.39,37.22,-37.22,0.06,8.23,-8.23,8.81,63.72,-63.72,0,0,0,1.11,32.58,-32.58,5.2,38.86,-38.86,0,0,0,0,0,0,0,0,0,0,0,0,4.79,26.86,-26.86,1.13,79.12,-79.12,0.23,51.25,-51.25,0,0,0,0,0,0,11.44,28.89,-28.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,34.1,-34.1,0,0,0,34.56,85.13,-85.13,3.37,51.01,-51.01,0.29,47.59,-47.59,0,0,0,0,0,0,1.45,10.46,-10.46,3.84,86.9,-86.9,0,0,0,0,0,0,0,0,0,0,0,0,0.95,62.48,-62.48,0.48,39.72,-39.72,0.02,5.81,-5.81,0,0,0,0,0,0,0,0,0,0,0,0,17.58,27.92,-27.92,0,0,0,0,0,0,0,0,0,0.11,45.65,-45.65,4.13,35.9,-35.9,0,0,0,0,0,0
