Config,3dm11_32bit_12x7_dx11_gt3_perf,Grid2_38x21,Rome2_19x10_AA_Extreme,Rome2_25x14_AA_Extreme,SleepingDogs_25x16_Extreme,SleepingDogs_25x16_FXAA_SSAA_Extreme,thief_veryhigh_3840x2160x32
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.7901,0.6468,0.7739,0.753,0.746,0.6441,0.5937
Navi11-128b-14m-2000e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8021,0.6491,0.7958,0.7503,0.7528,0.6514,0.609
Navi12-384b-14m-2000e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.7868,2.4386,2.8566,2.8153,2.1863,2.1736,2.36
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.5531,1.3277,1.3949,1.3168,1.3996,1.2684,1.1996
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.5858,1.3349,1.5637,1.5427,1.4125,1.2987,1.2154
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.6095,1.3398,1.6098,1.5367,1.4247,1.3141,1.2484
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.6454,1.3478,1.6232,1.5596,1.4375,1.3295,1.3206
Navi10-256b-14m-2100e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.6849,1.3593,1.628,1.5646,1.4738,1.3417,1.3689
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7971,0.6725,0.754,0.7358,0.7498,0.6535,0.5998
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.8019,0.6733,0.7171,0.6695,0.7639,0.6507,0.6035
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.8211,0.6772,0.8085,0.7883,0.7717,0.6667,0.6115
Navi11-128b-14m-2100e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8356,0.6798,0.8337,0.7852,0.7792,0.6749,0.6284
Navi12-384b-14m-2100e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.9202,2.555,2.9964,2.9509,2.2663,2.2434,2.4402
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.6057,1.3863,1.4411,1.3581,1.4462,1.3079,1.2313
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.6448,1.3945,1.6303,1.611,1.4605,1.3413,1.2485
