Config, App, Score, Cycles, Mem Efficiency (%), 1# bottleneck, 2# bottleneck, 3# bottleneck, 4# bottleneck, 5# bottleneck, #1 IF Improv %[activity],#2 IF Improv %[activity],#3 IF Improv %[activity],#4 IF Improv %[activity],#5 IF Improv %[activity], Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,3dm11_32bit_12x7_dx11_gt3_perf,0.4222,13778689519,55.6,MCS (27.6%),ALU (24.4%),TCC-TCP BW (10.4%),CB (8%),PosBuf (5.3%),MCS (10%),ALU (3.4%),TCC-TCP BW (0.4%),CB (1.6%),PosBuf (1.9%),39.8,36.36,45.18,11482.24,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Grid2_38x21,0.3269,54906242811,55.2,PS GPR (42.3%),ALU (14.3%),TCP (13.8%),MCS (9%),TCC-TCP BW (7.3%),PS GPR (11.6%),ALU (4.6%),TCP (1%),MCS (2.7%),TCC-TCP BW (2%),27.77,19.18,13498.42,45755.2,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Rome2_19x10_AA_Extreme,0.3499,43605260086,57.7,MCS (26.3%),ALU (19.4%),PS GPR (17.1%),TCP (13.2%),SX-DB (8.9%),MCS (7.7%),ALU (3.7%),PS GPR (2.4%),TCP (1.1%),SX-DB (1.7%),27.18,11.56,1236.3,36337.72,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Rome2_25x14_AA_Extreme,0.3368,68424015092,62.1,ALU (23%),MCS (22.5%),PS GPR (18.8%),TCP (10.8%),SX-DB (10%),ALU (4.9%),MCS (5.5%),PS GPR (2.6%),TCP (0.9%),SX-DB (1.9%),17.55,7.35,1045.72,57020.01,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_Extreme,0.3653,19486060746,59.2,MCS (42.2%),ALU (28.6%),DB (8.9%),VS Wave (5.6%),TCP (4.4%),MCS (12.4%),ALU (15.5%),DB (3.5%),VS Wave (2.7%),TCP (0%),33.69,22.66,49.83,16238.38,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.3112,64351830177,58.9,MCS (42%),ALU (33.1%),DB (11%),CB (5.5%),TCP (2.8%),MCS (11.6%),ALU (18.4%),DB (4.7%),CB (0%),TCP (0%),14.58,9.94,19.7,53626.53,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,thief_veryhigh_3840x2160x32,0.2844,104418894615,55.2,MCS (53.1%),TCP (12.8%),CB (11.5%),ALU (9%),DB (4.6%),MCS (17.2%),TCP (0.9%),CB (0%),ALU (1.6%),DB (1.6%),11.56,10.02,16.82,87015.75,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,3dm11_32bit_12x7_dx11_gt3_perf,0.4698,14445159450,56.7,MCS (43.4%),ALU (15.6%),TCC-TCP BW (8.8%),CB (7.6%),PosBuf (4.9%),MCS (14.2%),ALU (1.8%),TCC-TCP BW (0.2%),CB (1.5%),PosBuf (1.8%),44.29,40.46,50.16,10317.97,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Grid2_38x21,0.3762,55661450553,54.1,PS GPR (41.7%),ALU (13.9%),TCP (13.5%),MCS (11.7%),TCC-TCP BW (7.1%),PS GPR (11.4%),ALU (4%),TCP (0.9%),MCS (4%),TCC-TCP BW (2%),31.96,22.13,14557.98,39758.18,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Rome2_19x10_AA_Extreme,0.3919,45428524792,57,MCS (34.7%),ALU (16.7%),PS GPR (16.4%),TCP (11.9%),SX-DB (8.4%),MCS (11.4%),ALU (3.2%),PS GPR (2.3%),TCP (1%),SX-DB (1.6%),30.44,13.4,1415.34,32448.95,0,1400,1400,0,0,0,0,0,0
