Config, App, Score, Cycles, % Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.3112,64351830177,0.06%,0%,0.01%,0%,5.48%,11.01%,0%,0%,0.01%,0%,2.77%,2.24%,0.01%,0%,0%,41.99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.48%,0.53%,0.01%,0%,0%,0%,0.29%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,33.06%,0%,0%,0%,1.01%,0.03%,0%,0%,14.58,9.94,19.7,53626.53,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,thief_veryhigh_3840x2160x32,0.2844,104418894615,0%,0.01%,0.22%,0.03%,11.51%,4.58%,0%,0%,0%,0%,12.77%,3.05%,0.3%,0%,0%,53.11%,0%,0%,0%,0%,0%,0.04%,0%,0.06%,0%,0.06%,0.04%,0%,0%,0%,3.78%,0.66%,0%,0%,0%,0.01%,0.38%,0%,0%,0%,0%,0%,0%,8.95%,0%,0%,0%,0.43%,0%,0.01%,0%,11.56,10.02,16.82,87015.75,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,3dm11_32bit_12x7_dx11_gt3_perf,0.4698,14445159450,4.25%,0.14%,1.39%,0%,7.58%,2.29%,0%,0%,0%,0%,2.01%,8.77%,0.17%,0%,0%,43.39%,0%,0%,0%,0%,0%,0%,0%,1.01%,0%,1.01%,4.92%,0%,0%,0%,3.28%,0.03%,0%,0%,0.31%,0%,0.09%,0.56%,0%,0%,0%,0%,0%,15.59%,0%,0.52%,0%,0.41%,2.29%,0%,0%,44.29,40.46,50.16,10317.97,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Grid2_38x21,0.3762,55661450553,0.09%,0.03%,0.53%,0.16%,2.16%,2.27%,0%,0%,0.01%,0%,13.53%,7.12%,0.26%,0%,0%,11.68%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.51%,0%,0%,0%,0%,41.72%,0.82%,0%,0%,3.01%,0.08%,0%,0%,0%,0%,0%,0%,0%,13.86%,0%,0%,0%,0.3%,0.08%,1.78%,0%,31.96,22.13,14557.98,39758.18,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Rome2_19x10_AA_Extreme,0.3919,45428524792,0.47%,0.73%,0.62%,0.01%,4.04%,1.47%,0%,0%,0.43%,0%,11.85%,1.4%,0%,0%,0%,34.69%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.17%,0.69%,0.04%,0%,0%,16.37%,0.17%,0%,0%,0%,0%,0.19%,0%,0%,0%,0%,0%,0%,16.75%,0%,0.24%,0%,8.44%,0%,0.23%,0%,30.44,13.4,1415.34,32448.95,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Rome2_25x14_AA_Extreme,0.3799,70771067739,0.3%,1.12%,0.44%,0.03%,5.5%,1.51%,0%,0%,0.35%,0%,9.4%,1.31%,0%,0%,0%,29.91%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.9%,0.34%,0.02%,0%,0%,17.57%,0.11%,0%,0%,0%,0%,0.07%,0%,0%,0%,0%,0%,0%,21.3%,0%,0.15%,0%,9.65%,0%,0%,0%,19.8,8.54,1207.26,50550.76,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_Extreme,0.3978,20879406993,0.15%,0%,0.01%,0%,2.31%,6.76%,0%,0%,0%,0%,2.9%,1.63%,0%,0%,0%,51.81%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.77%,1.66%,0.03%,0%,0%,0.05%,0.92%,0%,0%,0%,0%,0.03%,0.48%,0%,0%,0%,0%,0%,26.06%,0%,0%,0%,0.34%,0.08%,0%,0%,36.68,24.43,56.72,14913.86,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_FXAA_SSAA_Extreme,0.3421,68300035915,0.05%,0%,0%,0%,2.39%,9.45%,0%,0%,0.01%,0%,2.41%,2.1%,0%,0%,0%,50.78%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.29%,0.48%,0.01%,0%,0%,0%,0.25%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,30.15%,0%,0%,0%,0.57%,0.03%,0%,0%,16.02,10.86,22.44,48785.74,0,1400,1400,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,thief_veryhigh_3840x2160x32,0.3083,112382854346,0%,0%,0.18%,0.02%,5.44%,3.84%,0%,0%,1.62%,0%,8%,2.73%,0.21%,0%,0%,67.38%,0%,0%,0%,0%,0%,0.03%,0%,0.06%,0%,0.05%,0.03%,0%,0%,0%,3.44%,0.52%,0%,0%,0%,0%,0.32%,0%,0%,0%,0%,0%,0%,5.76%,0%,0%,0%,0.37%,0%,0%,0%,12.53,10.85,18.62,80273.47,0,1400,1400,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,1.3726,6356882538,5.77%,14.61%,2.38%,0%,0%,0.17%,0%,0%,0%,0%,6.29%,0%,0.06%,0%,0%,20.55%,0%,0%,0%,0%,0%,0.02%,0%,4.91%,0%,4.29%,13.36%,0%,0%,0%,2.91%,0.06%,0%,0%,5.09%,0%,0%,2.88%,0.7%,0%,0%,0%,0%,13.9%,0%,0.7%,0%,0%,0%,1.35%,0%,129.41,116.75,143.77,3531.6,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Grid2_38x21,1.1474,23463682317,0.11%,14.55%,0.64%,0.04%,0%,0.95%,0%,0%,0.01%,0%,11.87%,0.46%,0.11%,0%,0%,6.19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.2%,0.01%,0%,0%,0%,37.43%,2.81%,0%,0%,5.71%,0%,0%,0%,1.18%,0%,0%,0%,0%,15.53%,0%,0%,0%,0%,0%,0.21%,0%,97.48,69.29,38284.68,13035.38,0,1800,1800,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,1.2414,18438070766,0.55%,11.64%,0.5%,0%,0%,0.53%,0%,0%,0.41%,0%,10.29%,0%,0%,0%,0%,28.7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.8%,0.63%,1.23%,0%,0%,16.17%,0.73%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.82%,0%,0.42%,0%,4.75%,0%,0.84%,0%,96.42,44.37,3182.87,10243.37,0,1800,1800,0,0,0,0,0,0
