File,Date Created,Date Modified,Size,Weight
E:\SlirpiNextV2_TongaInput\3dm11_32bit_12x7_dx11_gt3_perf\3dm11_32bit_12x7_dx11_gt3_perf_dcc_on_Perf.csv.gz,1/19/2016 2:45:15 AM,1/4/2016 4:06:13 AM,394818623,100
E:\SlirpiNextV2_TongaInput\Grid2_38x21\Grid2_38x21_dcc_on_Perf.csv.gz,2/22/2016 1:23:06 PM,1/26/2016 5:56:46 AM,2898708387,100
E:\SlirpiNextV2_TongaInput\Rome2_19x10_AA_Extreme\Rome2_19x10_AA_Extreme_dcc_on_Perf.csv.gz,1/21/2016 5:47:49 AM,1/5/2016 6:40:34 PM,2634829212,100
E:\SlirpiNextV2_TongaInput\Rome2_25x14_AA_Extreme\Rome2_25x14_AA_Extreme_dcc_on_Perf.csv.gz,1/21/2016 5:49:48 AM,1/5/2016 8:22:37 PM,2764443080,100
E:\SlirpiNextV2_TongaInput\SleepingDogs_25x16_Extreme\SleepingDogs_25x16_Extreme_dcc_on_Perf.csv.gz,1/25/2016 4:58:16 AM,1/23/2016 4:43:06 AM,2060548350,100
E:\SlirpiNextV2_TongaInput\SleepingDogs_25x16_FXAA_SSAA_Extreme\SleepingDogs_25x16_FXAA_SSAA_Extreme_dcc_on_Perf.csv.gz,1/25/2016 5:00:19 AM,1/23/2016 5:59:37 AM,2220063678,100
E:\SlirpiNextV2_TongaInput\thief_veryhigh_3840x2160x32\thief_veryhigh_3840x2160x32_dcc_on_Perf.csv.gz,1/25/2016 5:09:38 AM,1/22/2016 5:23:59 AM,3760811155,100
