Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.4758,1.248464,1.644824,153387619881.818,53.3,MCS (27.5%),ALU (18.3%),SPI (13.8%),PS GPR (11.8%),TCP (8.3%),MCS (9.1%) [100.0],ALU (5.5%) [84.4],SPI (4.6%) [66.3],PS GPR (2.3%) [NaN],TCP (0.6%) [71.8],105.92,38.04,53412.59,69721.65,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.497,1.285025,1.682635,151087659950.154,49.3,MCS (24.2%),ALU (20%),SPI (14.3%),PS GPR (11.8%),TCP (8.8%),MCS (7.8%) [100.0],ALU (5.8%) [88.3],SPI (4.9%) [69.4],PS GPR (2.3%) [NaN],TCP (0.6%) [75.1],107.53,38.04,54745.95,68676.21,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.5266,1.367304,1.715519,147211322833.395,47.1,ALU (21.7%),MCS (18.7%),SPI (15.3%),PS GPR (12.5%),TCP (9.4%),ALU (6.4%) [99.2],MCS (6%) [100.0],SPI (5.5%) [77.9],PS GPR (2.4%) [NaN],TCP (0.7%) [84.4],110.37,38.12,57145.52,66914.24,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2200e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.5528,1.389108,1.762431,144584833942.272,43.8,ALU (22.3%),SPI (16.4%),MCS (13.8%),PS GPR (12.6%),TCP (10%),ALU (7.1%) [100.0],SPI (6.2%) [78.5],MCS (4.4%) [88.7],PS GPR (2.6%) [NaN],TCP (0.7%) [85.1],112.37,38.15,61341.48,65720.38,SleepingDogs_25x16_FXAA_SSAA_Extreme,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7327,0.6152381,0.822271,310942658422.32,56.6,MCS (36.9%),ALU (16.3%),SPI (12.6%),PS GPR (11.3%),TCP (7.5%),MCS (13.3%) [100.0],ALU (5.2%) [75.0],SPI (3.9%) [58.9],PS GPR (2.3%) [NaN],TCP (0.5%) [63.8],52.25,18.85,34736.29,141337.57,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.7197,0.6192058,0.8278775,317999431129.686,57.3,MCS (39.7%),ALU (15.9%),SPI (11.5%),PS GPR (10.6%),TCP (7.2%),MCS (14.9%) [100.0],ALU (5.1%) [70.7],SPI (3.7%) [55.6],PS GPR (2.2%) [NaN],TCP (0.5%) [60.2],51.09,18.58,35003.02,144545.2,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.7621,0.6279758,0.8504037,300071869839.398,53.3,MCS (29.2%),ALU (19%),SPI (14.3%),PS GPR (12.2%),TCP (8.5%),MCS (9.9%) [100.0],ALU (5.7%) [84.4],SPI (4.7%) [66.3],PS GPR (2.4%) [NaN],TCP (0.6%) [71.8],54.14,19.03,36494.36,136396.3,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2200e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.7739,0.6466586,0.8711534,295381750376.399,49.3,MCS (25.8%),ALU (20.8%),SPI (14.8%),PS GPR (12.2%),TCP (9%),MCS (8.6%) [100.0],ALU (6%) [88.3],SPI (5.1%) [69.4],PS GPR (2.4%) [NaN],TCP (0.6%) [75.1],55,19.03,37750.77,134264.43,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi12-384b-14m-2200e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.7304,2.309582,3.135354,81541283385.8704,39.5,MCS (22.9%),ALU (18.1%),SPI (12.3%),VS Wave (11.7%),PS GPR (11.1%),MCS (8%) [100.0],ALU (5.2%) [84.6],SPI (4.3%) [66.4],VS Wave (7.5%) [26.4],PS GPR (2.2%) [NaN],199.25,76.1,70311.6,37064.22,SleepingDogs_25x16_FXAA_SSAA_Extreme,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.4398,1.260803,1.655403,164685600983.927,57.5,MCS (40%),ALU (14.8%),SPI (10.6%),PS GPR (10.1%),TCP (6.7%),MCS (15.1%) [100.0],ALU (4.8%) [68.1],SPI (3.3%) [53.5],PS GPR (2.1%) [NaN],TCP (0.5%) [57.9],103.14,38.75,53336.23,71602.43,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.5279,1.27927,1.701412,155134431600.02,53.5,MCS (29.8%),ALU (17.6%),SPI (13.3%),PS GPR (11.6%),TCP (8%),MCS (10%) [100.0],ALU (5.3%) [81.3],SPI (4.3%) [63.9],PS GPR (2.3%) [NaN],TCP (0.6%) [69.2],109.49,39.75,55039.52,67449.75,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.5519,1.319175,1.754682,152618114937.105,49.3,MCS (26.4%),ALU (19.1%),SPI (13.9%),PS GPR (11.7%),TCP (8.4%),MCS (8.6%) [100.0],ALU (5.6%) [85.1],SPI (4.7%) [66.9],PS GPR (2.3%) [NaN],TCP (0.6%) [72.4],111.29,39.74,56439.62,66355.7,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.5855,1.410816,1.784645,148338559485.654,47.1,ALU (21.4%),MCS (20.4%),SPI (14.8%),PS GPR (12.4%),TCP (9.3%),ALU (6.3%) [95.7],MCS (6.6%) [100.0],SPI (5.3%) [75.1],PS GPR (2.4%) [NaN],TCP (0.7%) [81.4],114.5,39.85,58969.37,64495.02,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2300e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.6157,1.434034,1.839115,145358221111.308,43.6,ALU (22.1%),SPI (16%),MCS (15%),PS GPR (12.6%),TCP (9.8%),ALU (7%) [100.0],SPI (6%) [78.5],MCS (4.9%) [91.9],PS GPR (2.5%) [NaN],TCP (0.7%) [85.1],116.85,39.88,63413.62,63199.23,SleepingDogs_25x16_FXAA_SSAA_Extreme,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7554,0.6296145,0.846168,315475646540.228,56.8,MCS (39.1%),ALU (15.7%),SPI (12%),PS GPR (11.2%),TCP (7.1%),MCS (14.5%) [100.0],ALU (5.1%) [72.2],SPI (3.6%) [56.7],PS GPR (2.2%) [NaN],TCP (0.5%) [61.4],53.84,19.68,35574.46,137163.32,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.7411,0.6338704,0.8523258,323090716327.501,57.5,MCS (42.1%),ALU (15.3%),SPI (10.9%),PS GPR (10.5%),TCP (6.9%),MCS (16.1%) [100.0],ALU (5%) [68.1],SPI (3.4%) [53.5],PS GPR (2.2%) [NaN],TCP (0.5%) [57.9],52.57,19.38,35852.89,140474.22,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.7883,0.643294,0.8784901,303672213950.574,53.5,MCS (31.6%),ALU (18.3%),SPI (13.7%),PS GPR (12%),TCP (8.2%),MCS (10.9%) [100.0],ALU (5.5%) [81.3],SPI (4.5%) [63.9],PS GPR (2.4%) [NaN],TCP (0.6%) [69.2],55.93,19.88,37409.31,132031.39,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2300e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8015,0.6636679,0.9081581,298545244977.011,49.3,MCS (28.1%),ALU (19.8%),SPI (14.3%),PS GPR (12.1%),TCP (8.7%),MCS (9.4%) [100.0],ALU (5.8%) [85.1],SPI (4.9%) [66.9],PS GPR (2.4%) [NaN],TCP (0.6%) [72.4],56.89,19.88,38714.84,129802.28,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi12-384b-14m-2300e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.8341,2.372457,3.273515,82339080167.9088,39.8,MCS (24.3%),ALU (17.8%),SPI (11.9%),VS Wave (11.5%),PS GPR (11%),MCS (8.7%) [100.0],ALU (5.1%) [81.6],SPI (4.1%) [64.1],VS Wave (7.3%) [25.5],PS GPR (2.2%) [NaN],206.29,79.53,72878.65,35799.6,SleepingDogs_25x16_FXAA_SSAA_Extreme,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.4811,1.288368,1.702995,167241504068.275,57.7,MCS (42%),ALU (14.4%),SPI (10.1%),PS GPR (10%),TCP (6.4%),MCS (16.3%) [100.0],ALU (4.6%) [65.6],SPI (3.1%) [51.5],PS GPR (2%) [NaN],TCP (0.5%) [55.8],105.98,40.33,54829.18,69683.96,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.5781,1.308086,1.760088,156959288517.239,53.6,MCS (32%),ALU (16.6%),SPI (12.9%),PS GPR (11.5%),TCP (7.7%),MCS (10.9%) [100.0],ALU (5.1%) [78.4],SPI (4.1%) [61.6],PS GPR (2.3%) [NaN],TCP (0.6%) [66.7],112.92,41.46,56620.44,65399.7,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.605,1.350977,1.825968,154233111287.69,49.5,MCS (28.5%),ALU (18.3%),SPI (13.4%),PS GPR (11.6%),TCP (8.1%),MCS (9.4%) [100.0],ALU (5.4%) [82.1],SPI (4.5%) [64.5],PS GPR (2.3%) [NaN],TCP (0.6%) [69.9],114.92,41.44,58086.88,64263.8,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.643,1.451467,1.852744,149551262921.749,46.9,MCS (22.1%),ALU (20.9%),SPI (14.4%),PS GPR (12.3%),TCP (9.1%),MCS (7.3%) [100.0],ALU (6.1%) [92.4],SPI (5.1%) [72.6],PS GPR (2.4%) [NaN],TCP (0.7%) [78.6],118.51,41.57,60746.58,62313.03,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-2400e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.6774,1.476673,1.914909,146186988501.741,43.6,ALU (21.9%),MCS (16.1%),SPI (15.6%),PS GPR (12.6%),TCP (9.7%),ALU (6.9%) [100.0],MCS (5.3%) [95.1],SPI (5.8%) [78.5],PS GPR (2.5%) [NaN],TCP (0.7%) [85.1],121.24,41.61,65439.98,60911.25,SleepingDogs_25x16_FXAA_SSAA_Extreme,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.777,0.6430188,0.8690009,320172947009.81,57,MCS (40.9%),ALU (15.4%),SPI (11.4%),PS GPR (11%),TCP (6.9%),MCS (15.7%) [100.0],ALU (4.9%) [69.6],SPI (3.4%) [54.7],PS GPR (2.2%) [NaN],TCP (0.5%) [59.2],55.36,20.51,36379.13,133405.4,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.7614,0.647557,0.8756145,328370783106.384,57.6,MCS (44.2%),ALU (14.8%),SPI (10.3%),PS GPR (10.3%),TCP (6.5%),MCS (17.4%) [100.0],ALU (4.8%) [65.6],SPI (3.2%) [51.5],PS GPR (2.1%) [NaN],TCP (0.5%) [55.8],53.98,20.17,36669.02,136821.16,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.8134,0.6576095,0.908354,307434974690.641,53.6,MCS (33.9%),ALU (17.1%),SPI (13.2%),PS GPR (11.9%),TCP (7.9%),MCS (11.9%) [100.0],ALU (5.4%) [78.4],SPI (4.3%) [61.6],PS GPR (2.4%) [NaN],TCP (0.6%) [66.7],57.65,20.74,38289.27,128097.91,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi11-128b-14m-2400e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.8281,0.6794899,0.9446647,301885883782.801,49.4,MCS (30.3%),ALU (19%),SPI (13.8%),PS GPR (12%),TCP (8.3%),MCS (10.3%) [100.0],ALU (5.6%) [82.1],SPI (4.7%) [64.5],PS GPR (2.4%) [NaN],TCP (0.6%) [69.9],58.71,20.73,39642.87,125785.79,thief_veryhigh_3840x2160x32,Rome2_19x10_AA_Extreme
Navi12-384b-14m-2400e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.9357,2.431713,3.410637,83168913461.8062,40.1,MCS (25.5%),ALU (17.5%),SPI (11.6%),VS Wave (11.3%),PS GPR (10.9%),MCS (9.4%) [100.0],ALU (4.9%) [78.8],SPI (4%) [61.9],VS Wave (7.2%) [24.6],PS GPR (2.1%) [NaN],213.11,82.94,75402.18,34653.71,SleepingDogs_25x16_FXAA_SSAA_Extreme,Rome2_19x10_AA_Extreme
 
Config, Score for 1280x720 Resolution, Min Score, Max Score, Cycles,Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,1,1,1,4847542775.52171,73.6,PosBuf (15%),ALU (15%),ParamCache (12%),Primitive (10.9%),SPI (7.5%),PosBuf (3.8%) [100.0],ALU (6.5%) [90.8],ParamCache (2.4%) [76.1],Primitive (3.1%) [85.4],SPI (1.1%) [78.6],125.42,113,139.87,4847.54,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,1.7391,1.73909,1.73909,4738582849.42384,65.3,ALU (16.7%),PosBuf (14.4%),MCS (10.6%),Vertex (9.8%),SPI (7%),ALU (3.4%) [78.6],PosBuf (3.8%) [64.4],MCS (3.1%) [100.0],Vertex (2.7%) [65.8],SPI (1%) [61.7],218.12,196.24,244.95,2787.4,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,0.4222,0.4221774,0.4221774,13778689519.0592,55.6,MCS (27.6%),ALU (24.4%),TCC-TCP BW (10.4%),CB (8%),PosBuf (5.3%),MCS (10%) [100.0],ALU (3.4%) [69.6],TCC-TCP BW (0.4%) [46.0],CB (1.6%) [19.3],PosBuf (1.9%) [35.1],52.95,48.29,60.01,11482.24,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,0.4698,0.4698155,0.4698155,14445159450.6586,56.7,MCS (43.4%),ALU (15.6%),TCC-TCP BW (8.8%),CB (7.6%),PosBuf (4.9%),MCS (14.2%) [100.0],ALU (1.8%) [61.2],TCC-TCP BW (0.2%) [40.5],CB (1.5%) [17.0],PosBuf (1.8%) [30.9],58.93,53.73,66.62,10317.97,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.3726,1.372619,1.372619,6356882538.05353,53.3,MCS (20.6%),SPI (14.6%),ALU (13.9%),PosBuf (13.4%),TCP (6.3%),MCS (6%) [100.0],SPI (6.6%) [79.3],ALU (1.4%) [70.8],PosBuf (3.8%) [52.8],TCP (1.3%) [52.7],172.16,155.07,190.95,3531.6,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.3894,1.389356,1.389356,6280302838.88709,51.2,ALU (17.6%),SPI (14.8%),MCS (14.8%),PosBuf (13.6%),TCP (6.8%),ALU (2.4%) [75.8],SPI (6.9%) [85.0],MCS (4.9%) [100.0],PosBuf (3.9%) [56.5],TCP (1.3%) [56.5],174.26,156.71,193.42,3489.06,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.4038,1.403788,1.403788,6215738344.27264,48.3,ALU (17.8%),SPI (15.1%),PosBuf (13.8%),MCS (12.7%),TCP (7.2%),ALU (3.3%) [81.4],SPI (7.2%) [91.2],PosBuf (3.9%) [60.7],MCS (3.9%) [100.0],TCP (1.3%) [60.6],176.07,158.15,195.63,3453.19,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.427,1.42699,1.42699,6114672924.53836,43.2,ALU (18.1%),SPI (15.9%),PosBuf (14.1%),MCS (8.2%),TCP (7.7%),ALU (5.1%) [89.2],SPI (7.6%) [100.0],PosBuf (4%) [66.5],MCS (2.3%) [93.8],TCP (1.4%) [66.4],178.98,160.51,199.19,3397.04,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.4493,1.449313,1.449313,6020492531.91891,35,ALU (18.4%),SPI (16.8%),PosBuf (14.5%),TCP (8%),Vertex (6.4%),ALU (6.5%) [89.2],SPI (8%) [100.0],PosBuf (4.1%) [66.5],TCP (1.4%) [66.4],Vertex (1.6%) [53.4],181.78,163,202.37,3344.72,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7088,0.7088184,0.7088184,12310030514.2204,54.8,MCS (25.8%),PosBuf (17.1%),SPI (15.1%),ALU (12.9%),TCP (6.5%),MCS (7.9%) [100.0],PosBuf (5.6%) [57.6],SPI (6.9%) [78.1],ALU (1.3%) [69.7],TCP (1.3%) [51.9],88.9,80.01,99.23,6838.91,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.7117,0.7116548,0.7116548,12260967864.7085,54.3,MCS (23.8%),PosBuf (17.2%),SPI (15.2%),ALU (14.4%),TCP (6.5%),MCS (7.5%) [100.0],PosBuf (5.6%) [58.5],SPI (7%) [79.3],ALU (1.4%) [70.8],TCP (1.3%) [52.7],89.26,80.32,99.63,6811.65,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.7221,0.7220676,0.7220676,12084155482.1776,52.3,ALU (18.3%),PosBuf (17.6%),MCS (17.5%),SPI (15.5%),TCP (7%),ALU (2.4%) [75.8],PosBuf (5.8%) [62.6],MCS (6.2%) [100.0],SPI (7.3%) [85.0],TCP (1.3%) [56.5],90.56,81.36,101.21,6713.42,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.731,0.7310399,0.7310399,11935841504.1068,49.2,ALU (18.6%),PosBuf (18%),SPI (15.7%),MCS (14.6%),TCP (7.5%),ALU (3.5%) [81.4],PosBuf (5.9%) [67.2],SPI (7.6%) [91.2],MCS (5%) [100.0],TCP (1.4%) [60.6],91.69,82.27,102.61,6631.02,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-1800e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.5154,2.515427,2.515427,3468825552.94696,41.4,ALU (16%),Primitive (13.7%),SPI (12.8%),PosBuf (9.3%),HS Wave (9.1%),ALU (4.8%) [89.2],Primitive (4.5%) [79.3],SPI (5.4%) [100.0],PosBuf (1.9%) [56.9],HS Wave (3.1%) [41.8],315.5,281.76,347.45,1927.13,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.4371,1.437087,1.437087,6409028226.34804,54.1,MCS (24.9%),SPI (14.5%),PosBuf (13.2%),ALU (10.7%),TCP (6.1%),MCS (6.8%) [100.0],SPI (6.5%) [76.4],PosBuf (3.7%) [50.8],ALU (1%) [68.2],TCP (1.2%) [50.8],180.25,162.45,199.91,3373.17,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.4585,1.458522,1.458522,6314838478.83687,51.6,ALU (17.5%),MCS (15.9%),SPI (14.7%),PosBuf (13.5%),TCP (6.4%),ALU (1.9%) [73.1],MCS (5.4%) [100.0],SPI (6.8%) [81.9],PosBuf (3.8%) [54.5],TCP (1.3%) [54.4],182.93,164.67,202.93,3323.6,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.475,1.475029,1.475029,6244170211.94106,49,ALU (17.7%),SPI (14.9%),MCS (13.7%),PosBuf (13.7%),TCP (7%),ALU (2.9%) [78.5],SPI (7.1%) [88.0],MCS (4.3%) [100.0],PosBuf (3.9%) [58.5],TCP (1.3%) [58.5],185,166.28,205.51,3286.41,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.5019,1.501881,1.501881,6132532886.77357,43.6,ALU (18.1%),SPI (15.8%),PosBuf (14.1%),MCS (9.1%),TCP (7.6%),ALU (4.8%) [89.2],SPI (7.5%) [100.0],PosBuf (4%) [66.5],MCS (2.6%) [97.1],TCP (1.4%) [66.4],188.37,168.99,209.58,3227.65,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.5285,1.528481,1.528481,6025808000.7812,35.1,ALU (18.4%),SPI (16.7%),PosBuf (14.5%),TCP (8%),Vertex (6.3%),ALU (6.5%) [89.2],SPI (8%) [100.0],PosBuf (4.1%) [66.5],TCP (1.4%) [66.4],Vertex (1.6%) [53.4],191.71,171.89,213.42,3171.48,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7407,0.740729,0.740729,12434145171.0244,55.4,MCS (29.7%),PosBuf (16.9%),SPI (14.9%),ALU (10.2%),TCP (6.2%),MCS (8.8%) [100.0],PosBuf (5.5%) [55.5],SPI (6.7%) [75.2],ALU (0.9%) [67.1],TCP (1.3%) [50.0],92.91,83.68,103.66,6544.29,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.7442,0.7442253,0.7442253,12375730128.616,54.9,MCS (28.3%),PosBuf (17%),SPI (15%),ALU (11%),TCP (6.3%),MCS (8.4%) [100.0],PosBuf (5.6%) [56.3],SPI (6.8%) [76.4],ALU (1.1%) [68.2],TCP (1.3%) [50.8],93.34,84.04,104.17,6513.54,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
