Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.6462,0.5527283,0.7220676,288214884998.248,52.2,ALU (21.9%),MCS (21%),SPI (16.3%),PS GPR (12.7%),TCP (9.5%),ALU (6.5%) [98.8],MCS (6.7%) [100.0],SPI (5.7%) [77.6],PS GPR (2.5%) [NaN],TCP (0.7%) [84.1],46.12,15.59,32520.05,160119.38,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.6531,0.5645279,0.7310399,285035048221.32,48.1,ALU (22.5%),MCS (19%),SPI (16.7%),PS GPR (12.6%),TCP (9.7%),ALU (6.8%) [100.0],MCS (5.7%) [97.1],SPI (6.1%) [78.5],PS GPR (2.5%) [NaN],TCP (0.7%) [85.1],46.64,15.59,33570.71,158352.8,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-1800e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.2909,2.009955,2.575177,78861466947.2826,38.5,ALU (19.5%),MCS (17.2%),SPI (13.9%),VS Wave (12.2%),PS GPR (11.4%),ALU (5.9%) [97.9],MCS (5.6%) [100.0],SPI (4.9%) [76.9],VS Wave (8%) [30.5],PS GPR (2.2%) [NaN],168.56,62.31,59658.62,43811.93,SleepingDogs_25x16_Extreme,Rome2_19x10_AA_Extreme
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.2542,1.12843,1.437087,155445470429.406,56.5,MCS (30.4%),ALU (17.8%),SPI (13.3%),PS GPR (10.7%),TCP (8.1%),MCS (10.5%) [100.0],ALU (5.4%) [80.0],SPI (4.4%) [62.9],PS GPR (2.2%) [NaN],TCP (0.6%) [68.1],90.27,32.31,46892.63,81813.4,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.3086,1.141149,1.458522,148747608075.897,52.7,MCS (21.2%),ALU (20.7%),SPI (15.4%),PS GPR (12.2%),TCP (9.1%),MCS (6.7%) [100.0],ALU (6%) [95.3],SPI (5.3%) [74.8],PS GPR (2.4%) [NaN],TCP (0.6%) [81.0],94.33,32.89,48241.79,78288.21,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.3228,1.16774,1.475029,147018481472.332,48.7,ALU (21.3%),MCS (19.3%),SPI (15.9%),PS GPR (12.1%),TCP (9.3%),ALU (6.3%) [99.4],MCS (5.7%) [100.0],SPI (5.6%) [78.1],PS GPR (2.4%) [NaN],TCP (0.7%) [84.6],95.44,32.9,49373.17,77378.15,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.3414,1.218615,1.501881,144415092902.982,46.5,ALU (22.4%),SPI (16.8%),MCS (13.9%),PS GPR (12.6%),TCP (9.8%),ALU (7%) [100.0],SPI (6.2%) [78.5],MCS (4.4%) [89.7],PS GPR (2.5%) [NaN],TCP (0.7%) [85.1],97.16,32.94,51382.21,76007.94,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1900e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.3578,1.232863,1.528481,142597501283.344,43.4,ALU (22.8%),SPI (17.5%),PS GPR (12.7%),MCS (10.9%),TCP (10.2%),ALU (7.4%) [100.0],SPI (6.7%) [78.5],PS GPR (2.6%) [NaN],MCS (3.2%) [79.1],TCP (0.8%) [85.1],98.4,32.96,54779.97,75051.31,Grid2_38x21,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.6576,0.5649965,0.740729,298643027609.335,55.8,MCS (29.2%),ALU (19%),SPI (14.7%),PS GPR (11.7%),TCP (8.5%),MCS (10%) [100.0],ALU (5.8%) [84.8],SPI (4.7%) [66.6],PS GPR (2.4%) [NaN],TCP (0.6%) [72.2],46.98,16.35,32004.81,157180.54,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.6482,0.5679692,0.7442253,304127218418.545,56.6,MCS (32%),ALU (18.5%),SPI (13.7%),PS GPR (11.1%),TCP (8.3%),MCS (11.3%) [100.0],ALU (5.7%) [80.0],SPI (4.5%) [62.9],PS GPR (2.3%) [NaN],TCP (0.6%) [68.1],46.14,16.16,32235.14,160066.95,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-4096K-2PreCull-2PostCull-BC,0.6775,0.5744844,0.7573091,290543919139.143,52.8,MCS (22.5%),ALU (21.5%),SPI (15.9%),PS GPR (12.6%),TCP (9.3%),MCS (7.3%) [100.0],ALU (6.3%) [95.3],SPI (5.5%) [74.8],PS GPR (2.5%) [NaN],TCP (0.7%) [81.0],48.29,16.45,33524.14,152917.85,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1900e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-8192K-2PreCull-2PostCull-BC,0.6854,0.5881178,0.7676101,287016291028.809,48.8,ALU (22.2%),MCS (20.5%),SPI (16.4%),PS GPR (12.5%),TCP (9.6%),ALU (6.6%) [99.4],MCS (6.3%) [100.0],SPI (5.8%) [78.1],PS GPR (2.5%) [NaN],TCP (0.7%) [84.6],48.89,16.45,34626.93,151061.2,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi12-384b-14m-1900e-4SE8SA-80CU-32RB-32TCC-12MC-DCC-PBB-32768K-8PreCull-4PostCull-BC,2.4062,2.098154,2.716282,79381592069.4505,38.9,ALU (19%),MCS (18.7%),SPI (13.5%),VS Wave (12.1%),PS GPR (11.3%),ALU (5.7%) [94.8],MCS (6.1%) [100.0],SPI (4.7%) [74.5],VS Wave (7.9%) [29.6],PS GPR (2.2%) [NaN],176.76,65.77,62343.86,41779.78,SleepingDogs_25x16_FXAA_SSAA_Extreme,Rome2_19x10_AA_Extreme
