Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,16699790648.4508,60.5,ALU (19.2%),TCP (13.6%),MCS (11.2%),DB (9.5%),CB (7.6%),ALU (11.7%) [97.1],TCP (0.8%) [85.9],MCS (2.8%) [100.0],DB (0.3%) [98.3],CB (0%) [53.9],119.82,84.27,269.09,16699.79,dirtrally_ultra_dx11_r1920x1080,dirtrally_ultra_dx11_r1920x1080
TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,0.9137,0.913735,0.913735,19190223682.8416,70.4,SPI (15.8%),ALU (14.7%),TCP (11.3%),MCS (9.1%),Interp (7.4%),SPI (2.6%) [94.9],ALU (9.6%) [92.4],TCP (0.7%) [81.7],MCS (2.3%) [100.0],Interp (3.1%) [92.2],109.49,76.65,246.71,14711.38,dirtrally_ultra_dx11_r1920x1080,dirtrally_ultra_dx11_r1920x1080
 
Config, Score for 1920x1080 Resolution, Min Score, Max Score, Cycles,Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,16699790648.4508,60.5,ALU (19.2%),TCP (13.6%),MCS (11.2%),DB (9.5%),CB (7.6%),ALU (11.7%) [97.1],TCP (0.8%) [85.9],MCS (2.8%) [100.0],DB (0.3%) [98.3],CB (0%) [53.9],119.82,84.27,269.09,16699.79,dirtrally_ultra_dx11_r1920x1080,dirtrally_ultra_dx11_r1920x1080
TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,0.9137,0.913735,0.913735,19190223682.8416,70.4,SPI (15.8%),ALU (14.7%),TCP (11.3%),MCS (9.1%),Interp (7.4%),SPI (2.6%) [94.9],ALU (9.6%) [92.4],TCP (0.7%) [81.7],MCS (2.3%) [100.0],Interp (3.1%) [92.2],109.49,76.65,246.71,14711.38,dirtrally_ultra_dx11_r1920x1080,dirtrally_ultra_dx11_r1920x1080
